	Instantie	Datum uitspraak	Datum publicatie	Zaaknummer	Rechtsgebieden	Bijzondere kenmerken	Inhoudsindicatie	Vindplaatsen		Wetsverwijzingen	Formele relaties
59	Rechtbank Den Haag	31-10-2022	04-11-2022	FT RK 22/664	Insolventierecht	Eerste aanleg - enkelvoudig	Toewijzing verzoek dwangakkoord. Maximaal haalbare. Aard vordering (goede trouw) niet doorslaggevend.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 287a	
60	Rechtbank Den Haag	31-10-2022	04-11-2022	FT RK 22/557	Insolventierecht	Eerste aanleg - enkelvoudig	Verzoek dwangakkoord. De advocaat kan voor de beloning voor zijn werkzaamheden tijdens de uitvoering van het minnelijk traject aansluiting zoeken bij het “Besluit Vergoeding Bewindvoerder Schuldsanering 2013”. De wetgever heeft geen beloning voor schuldbemiddeling vastgesteld. De advocaat wordt door rechtbanken benoemd als Wsnp-bewindvoerder. De werkzaamheden die hij moet uitvoeren in het minnelijk traject verschillen niet wezenlijk van die van een Wsnp-bewindvoerder.Afwijzing verzoek dwangakkoord. Niet maximaal haalbare, onvoldoende waarborgen.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 287a	
61	Rechtbank Den Haag	31-10-2022	04-11-2022	FT RK 22/574	Insolventierecht	Eerste aanleg - enkelvoudig	Toewijzing verzoek dwangakkoord. Maximaal haalbare. Partner in Wsnp. Aard vordering (goed trouw) niet van doorslaggevende betekenis.	Rechtspraak.nl	Verrijkte uitspraak	Faillissementswet 287a	
62	Rechtbank Amsterdam	31-10-2022	04-11-2022	10080451 CV EXPL 22-11317	Civiel recht	Eerste aanleg - enkelvoudig	Een man hoeft sportschool Basic Fit geen abonnementsgeld te betalen vanwege een oneerlijk beding in de algemene voorwaarden. Dat heeft de kantonrechter bepaald.	Rechtspraak.nl	Verrijkte uitspraak		
63	Rechtbank Limburg	31-10-2022	07-11-2022	C/03/304561 / FA RK 22-1601	Personen- en familierecht	Beschikking	Verzoek vervangende toestemming erkenning. IPR: Artikel 10: 95 BW. Nederlands recht van toepassing nu Marokkaans recht erkenning (buiten huwelijk) niet kent. Verzoek na belangenafweging afgewezen. Verzoek omgang. IPR: Artikel 17 HKV. Nederlands recht toegepast. Family life vastgesteld. Raadsonderzoek gevraagd.	Rechtspraak.nl	Verrijkte uitspraak		
64	Rechtbank Overijssel	31-10-2022	08-11-2022	C/08/287479 / KG ZA 22-231	Civiel recht	Kort geding	Eiser vordert voortzetting van de ADL-overeenkomst	Rechtspraak.nl	Verrijkte uitspraak		
65	Rechtbank Rotterdam	31-10-2022	08-11-2022	C/10/634146 / JE RK 22-455 en C/10/642474 / JE RK 22-1825	Personen- en familierecht	Beschikking	beschikking verlenging ondertoezichtstelling en geschillenbeslechting	Rechtspraak.nl	Verrijkte uitspraak		
66	Rechtbank Overijssel	31-10-2022	09-11-2022	285841 FT RK 22/440 en 285843 FT RK 22/441	Insolventierecht	Eerste aanleg - enkelvoudig	Toewijzing verzoek dwangakkoord. Voorstel goed en betrouwbaar gedocumenteerd. ING Bank N.V., enige weigeraar, lijkt onterecht onderscheid te maken in NVVK-leden en niet-NVVK-leden wat betreft aan te leveren documenten voor beoordeling aanbod aan schuldeisers. Onder andere daardoor in redelijkheid niet tot weigering kunnen komen.	Rechtspraak.nl	Verrijkte uitspraak		
67	Rechtbank Midden-Nederland	28-10-2022	31-10-2022	546767 / HA RK 22-223	Personen- en familierecht	Wraking	Wrakingsverzoek niet-ontvankelijk, nu verzoeker omstandigheden noemt die hem zijn opgevallen, maar hiermee kennelijk niet heeft bedoeld dat de rechter zich moet onthouden van verdere betrokkenheid bij de zaak. Verzoeker vraagt immers om heropening/schadevergoeding en daar is het wrakingsmiddel niet voor bedoeld. Daarom is het verzoek niet-ontvankelijk. Voor zover het wrakingsverzoek bedoeld is te zijn gericht tegen de rechterlijke macht in zijn gehaal, is het verzoek eveneens niet-ontvankelijk.	Rechtspraak.nl	Verrijkte uitspraak		
68	Rechtbank Rotterdam	28-10-2022	31-10-2022	9958113 CV EXPL 22-19516	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Voorwaardelijke ontbinding huurovereenkomst, voor het geval betalingsregeling niet wordt nagekomen.	Rechtspraak.nl	Verrijkte uitspraak		
69	Rechtbank Rotterdam	28-10-2022	31-10-2022	9851687 CV EXPL 22-13306	Personen- en familierecht	Eerste aanleg - enkelvoudig	Geschil tussen ex-partners. Vordering tot (her)verdeling koopsom woning en regresvordering wegens eigenaarslasten.	Rechtspraak.nl	Verrijkte uitspraak		
70	Rechtbank Zeeland-West-Brabant	28-10-2022	02-11-2022	C/02/401520 / KG ZA 22-448	Personen- en familierecht	"Eerste aanleg - enkelvoudig
Kort geding"	Verkapt executiegeschil. Tenuitvoerlegging van in hoger beroep bekrachtigde beslissing dat de man moet meewerken aan de verkoop en levering van de gemeenschappelijke woning aan een derde. Geen aanknopingspunten om te veronderstellen dat de man de toedeling van de woning aan hem nu wel zal kunnen financieren. Geen nieuwe feiten/omstandigheden die maken dat de vrouw misbruik maakt van haar bevoegdheid om de verkoop door te zetten.	Rechtspraak.nl	Verrijkte uitspraak		
71	Rechtbank Overijssel	28-10-2022	03-11-2022	C/08/286436 / KG ZA 22-213	Civiel recht	Eerste aanleg - enkelvoudig	Eisers vorderen nakoming van de gesloten overeenkomst tussen partijen .	Rechtspraak.nl	Verrijkte uitspraak		
72	Rechtbank Rotterdam	28-10-2022	08-11-2022	C/10/646721 / FA RK 22-7546 (voorlopige voorziening)/   C/10/646724 / KG ZA 22-900 (beroep tegen besluit)  /   C/10/646864 / FA RK 22-7631 (beroep tegen verlenging)	Civiel recht	Proces-verbaal	Wet tijdelijk huisverbod. Verzoek voorlopige voorziening afgewezen. Beroep tegen huisverbod en verlenging huisverbod ongegrond verklaard.	Rechtspraak.nl	Verrijkte uitspraak		
73	Rechtbank Rotterdam	28-10-2022	08-11-2022	9408105 \ CV EXPL 21-28354	Civiel recht	Eerste aanleg - enkelvoudig	Eindvonnis na uitgebreid tussenvonnis met bindende eindbeslissingen; ktr komt niet terug op bindende eindbeslissingen; een berekening van wat nog betaald moet worden aan voormalig werknemer volgt; herberekening toewijsbaar bedrag aan vergoeding voor niet genoten vakantiedagen, wettelijke verhoging en wettelijke rente.	Rechtspraak.nl	Verrijkte uitspraak		
74	Rechtbank Overijssel	28-10-2022	08-11-2022	9969850 \ EJ VERZ  22-208	Arbeidsrecht	"Eerste aanleg - enkelvoudig
Beschikking"	Ontbinding arbeidsovereenkomst wegens verwijtbaar handelen of nalaten door de re-integratieverplichtingen niet na te komen. Dat levert ook ernstig verwijtbaar handelen op, dus geen toekenning van een transitievergoeding.	Rechtspraak.nl	Verrijkte uitspraak		
75	Rechtbank Rotterdam	28-10-2022	08-11-2022	9741468	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Eindvonnis na bewijsopdracht. Door een factuur betreffende het tweede contractjaar te betalen heeft gedaagde een contractduur van twee jaar impliciet bevestigd	Rechtspraak.nl	Verrijkte uitspraak		
76	Rechtbank Rotterdam	27-10-2022	28-10-2022	9921144 CV EXPL 22-2318	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Nu DCH de stellingen en het verweer van Bakker gemotiveerd heeft betwist, had het op de weg van Bakker gelegen om zijn stellingen nader te onderbouwen. Dat heeft Bakker niet gedaan.	Rechtspraak.nl	Verrijkte uitspraak		
77	Rechtbank Midden-Nederland	27-10-2022	31-10-2022	10063683  MV EXPL  22-106 D51246	Civiel recht	Kort geding	De huurovereenkomst is tot stand gekomen op basis van vervalste gegevens, die niet door de huurders zelf maar door een bemiddelingsbureau aan de toenmalige verhuurder zijn verstrekt. De huurovereenkomst is rechtsgeldig buitengerechtelijk vernietigd op grond van dwaling. Bovendien hebben de huurders in de buitengerechtelijke vernietiging berust. De in dit kort geding gevorderde ontruiming wordt daarom toegewezen.	Rechtspraak.nl	Verrijkte uitspraak		
78	Rechtbank Noord-Holland	27-10-2022	01-11-2022	C/15/332076 HARK 22-152	Civiel recht	Wraking	Wrakingskamer. Verzoek wraking toegewezen. De wrakingskamer is van oordeel dat de kantonrechter op zijn minst de schijn heeft gewekt niet open te staan voor enige reactie van verzoekster met betrekking tot de niet-ontvankelijkheid alvorens haar definitieve oordeel uit te spreken over de geldigheid van de dagvaarding. Uit het niet openstaan voor het naar voren brengen van nieuwe of gewijzigde omstandigheden c.q. argumenten om van een ander standpunt te worden overtuigd, volgt dat de kantonrechter bij verzoekster, objectief gezien, ten minste de schijn heeft gewekt, ongeacht wat die partij naar voren zou brengen, tot een voor die partij nadelige beslissing te zullen komen. Dit leidt tot het oordeel dat sprake is van feiten en omstandigheden waardoor de rechterlijke onpartijdigheid schade kan lijden, zodat de door verzoekster aangevoerde wrakingsgrond slaagt en het verzoek van verzoekster wordt toegewezen.	Rechtspraak.nl	Verrijkte uitspraak		
79	Rechtbank Zeeland-West-Brabant	27-10-2022	01-11-2022	C/02/402676 / KG RK 22-775	Civiel recht	Bodemzaak	Verzoek tot het leggen van leveringsbeslag onder een derde wordt afgewezen omdat de wet hiertoe geen mogelijkheid biedt.	Rechtspraak.nl	Verrijkte uitspraak		
80	Rechtbank Rotterdam	27-10-2022	02-11-2022	9767685 CV EXPL 22-1210	Verbintenissenrecht	Eerste aanleg - enkelvoudig	samenloop dwaling, wanprestatie en onrechtmatige daad	Rechtspraak.nl	Verrijkte uitspraak		
81	Rechtbank Rotterdam	26-10-2022	27-10-2022	C/10/632096 / HA ZA 22-63	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Koper vordert kosten afvoer met PFOA vervuilde grond van verkoper obv ovk. Geen saneringskosten maar kosten vallen wel onder overeenkomst. Verkoper vordert kosten gemeente van koper: geen grond voor in overeenkomst.	Rechtspraak.nl	Verrijkte uitspraak		
82	Rechtbank Rotterdam	26-10-2022	27-10-2022	631404 HA-ZA 22-8	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Notaris niet aansprakelijk voor (akte van) geldlening aan bedrijf dat niet in Zwitserland maar op de Maagdeneilanden gevestigd bleek te zijn. Hypothecaire zekerheid in Nederland. Evenmin aansprakelijk voor medewerking aan vastleggen retentierecht.	Rechtspraak.nl	Verrijkte uitspraak		
83	Rechtbank Noord-Nederland	26-10-2022	27-10-2022	C/18/173775 / HA ZA 17-28	Civiel recht	Op tegenspraak	Erfrecht. Verdelingszaak tussen 5 kinderen. Afwikkeling agrarische maatschap moeder en zoon/overname- en voortzettingsrecht. Vervolg op ECLI:NL:RBNNE:2019:1029 na gehouden deskundigenonderzoeken. Actualisatie wegens tijdsverloop tussen inspectiedatum en uitspreken verdeling. De rechtbank komt niet terug op eerdere bindende eindbeslissingen. Eindvonnis.	Rechtspraak.nl	Verrijkte uitspraak		
84	Rechtbank Rotterdam	26-10-2022	28-10-2022	C/10/621750 / HA ZA 21-603	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Tussenvonnis na bewijslevering. Schending waarheidsplicht artikel 21 Rv. Getuigenverklaringen buiten beschouwing gelaten. Bewijs niet geleverd. Uitlating bij akte over de vraag of een volledige proceskostenveroordeling als sanctie passend is.	Rechtspraak.nl	Verrijkte uitspraak		
85	Rechtbank Rotterdam	26-10-2022	28-10-2022	C/10/622815 / HA ZA 21-671	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Tussenvonnis. Benoeming uit register geselecteerde deskundige om herstelkosten te kunnen bepalen.	Rechtspraak.nl	Verrijkte uitspraak		
86	Rechtbank Zeeland-West-Brabant	26-10-2022	28-10-2022	7764366_E26102022	Civiel recht	Bodemzaak	eindvonnis. vaststellen huurprijsverlaging in verband met Covid-19. Ook veroordeling tot realisatie van separate aansluiting voor elektra, met dwangsom.	Rechtspraak.nl	Verrijkte uitspraak		
87	Rechtbank Rotterdam	26-10-2022	28-10-2022	C/10/640868 / HA ZA 22-528	Civiel recht	Eerste aanleg - enkelvoudig	Geschil tussen buren. Buren verschillen van mening over de vraag waar de erfgrens tussen hun percelen loopt. Voorts zouden er bomen binnen één meter binnen de erfgrens zijn geplaatst.	Rechtspraak.nl	Verrijkte uitspraak		
88	Rechtbank Amsterdam	26-10-2022	28-10-2022	C/13/723344 / KG ZA 22-589	Civiel recht	Kort geding	Het beslag dat coffeeshopketen The Bulldog voor een miljoenenclaim ten laste van Red Bull heeft gelegd, hoeft niet te worden opgeheven.	Rechtspraak.nl	Verrijkte uitspraak		
89	Rechtbank Rotterdam	26-10-2022	31-10-2022	C/10/626663 / HA ZA 21-899	Verbintenissenrecht	Eerste aanleg - enkelvoudig	Non-conformiteit bij verkoop woning; voorschot op schadevergoeding; verwijzing naar schadestaatprocedure.	Rechtspraak.nl	Verrijkte uitspraak		
90	Rechtbank Overijssel	26-10-2022	31-10-2022	C/08/278300 / HA ZA 22-79	Civiel recht	Eerste aanleg - enkelvoudig	Aanbod en aanvaarding. Afwijkende aanvaarding op ondergeschikt punt. Betalingsvordering 2e termijn niet opeisbaar. Opschorting 1e termijn niet gerechtvaardigd.	Rechtspraak.nl	Verrijkte uitspraak		
91	Rechtbank Rotterdam	26-10-2022	31-10-2022	C/10/598823 / HA ZA 20-593	Mededingingsrecht	Eerste aanleg - enkelvoudig	Bitumenkartel. De Staat vordert schadevergoeding omdat in de kartelperiode (indirect) een te hoge prijs voor wegenbouwbitumen zou zijn betaald. De leveranciers vinden dat de vordering is verjaard. Voornemen om vragen te stellen aan de Europese Commissie.	Rechtspraak.nl	Verrijkte uitspraak		
92	Rechtbank Noord-Holland	26-10-2022	31-10-2022	C/15/325371 / HA ZA 22-130	Verbintenissenrecht	Bodemzaak	Uitleg Anterieure Overeenkomst inzake ontwikkeling duurzame woonwijk . Oppervlakte van de te bouwen sociale koopwoningen en de vraag of deze al dan niet gestapeld mogen worden opgeleverd. Haviltex.	Rechtspraak.nl	Verrijkte uitspraak		
93	Rechtbank Noord-Holland	26-10-2022	31-10-2022	C/15/324225 / HA ZA 22-38	Civiel recht	Bodemzaak	Erfrecht, geschil tussen erfgenamen over onrechtmatige onttrekkingen	Rechtspraak.nl	Verrijkte uitspraak		
94	Rechtbank Noord-Holland	26-10-2022	31-10-2022	C/15/328621 / HA ZA 22-335	Burgerlijk procesrecht	Bodemzaak	vonnis in incident. Verlof oproepen in vrijwaring afgewezen. Gronden kunnen vordering niet dragen.	Rechtspraak.nl	Verrijkte uitspraak		
95	Rechtbank Noord-Holland	26-10-2022	31-10-2022	C/15/327776 / HA ZA 22-287	Civiel recht	Bodemzaak	Verdeling beperkte gemeenschap, 3:166 lid 1 BW. Geen gronden aanwezig om verdeling woning (nog) 3 jaar uit te stellen zoals bedoeld in 3:178 lid 3 BW. Afwijzen vordering vergoeding onderhoudskosten, 3:170 en 3:172 BW.	Rechtspraak.nl	Verrijkte uitspraak		
96	Rechtbank Noord-Holland	26-10-2022	31-10-2022	9685015	Verbintenissenrecht	Bodemzaak	Stelplicht Airhelp. Verweer vervoerder dat de passagier niet met de oorspronkelijke vlucht is meegevlogen tardief. Wettelijke rente hoofdsom vanaf datum vlucht.	Rechtspraak.nl	Verrijkte uitspraak		
97	Rechtbank Noord-Holland	26-10-2022	31-10-2022	9614274	Verbintenissenrecht	Bodemzaak	De vervoerder heeft aangevoerd dat de vlucht is geannuleerd als gevolg van een defecte ‘localizer’. De vervoerder heeft zijn verweer niet met enige stukken onderbouwd. Het is aan de vervoerder om voldoende gegevens en onderbouwing te verstrekken.	Rechtspraak.nl	Verrijkte uitspraak		
98	Rechtbank Oost-Brabant	26-10-2022	01-11-2022	C/01/375111 / HA ZA 21-696	Civiel recht	"Bodemzaak
Eerste aanleg - enkelvoudig"	Handelszaak. Bestuurdersaansprakelijkheid ex artikel 2:248 BW (aansprakelijkheid van het bestuur voor het boedeltekort). Schending boekhoud- en publicatieplicht. Geen onbelangrijk verzuim en geen disculpatie. Onbehoorlijke taakvervulling wordt vermoed de oorzaak van het faillissement te zijn. Geen andere belangrijke oorzaak van het faillissement aannemelijk gemaakt. Geslaagd beroep op matiging. Geen uitvoerbaarheid bij voorraad.	Rechtspraak.nl	Verrijkte uitspraak		
99	Rechtbank Zeeland-West-Brabant	26-10-2022	01-11-2022	9660667_E26102022	Civiel recht	Bodemzaak	Verschuldigdheid loon. Werkgever niet gevolgd in standpunt dat werknemer niet daadwerkelijk arbeidsongeschikt was. Tav een andere periode komt het niet werken voor rekening en risico van werkgever. Beroep op verrekening slaagt niet. Reconventie afgewezen.	Rechtspraak.nl	Verrijkte uitspraak		
100	Rechtbank Den Haag	26-10-2022	01-11-2022	C/09/616053 / HA ZA 21-695	Civiel recht	Eerste aanleg - enkelvoudig	Overheidsaansprakelijkheid. Schade door verzakking van woningen. Heeft de gemeente bewoners onvolledig of onjuist geïnformeerd over funderingsonderzoeken en de te verwachten verzakking?	Rechtspraak.nl	Verrijkte uitspraak		
101	Rechtbank Den Haag	26-10-2022	01-11-2022	C/09/635072 / HA ZA 22-770	Civiel recht	Eerste aanleg - enkelvoudig	Exhibitie incident na bewijsbeslag. Op het incident zal pas worden beslist na de mondelinge behandeling in de hoofdzaak	Rechtspraak.nl	Verrijkte uitspraak		
102	Rechtbank Gelderland	26-10-2022	02-11-2022	C/05/404834 / HA ZA 22-245	Verbintenissenrecht	"Eerste aanleg - enkelvoudig
Op tegenspraak"	Incidenteel vonnis. Kopieen van opnames van gesprekken en Zoom-videoconferenties. Artikel 843a Rv en artikel 15 AVG.	Rechtspraak.nl	Verrijkte uitspraak		
103	Rechtbank Limburg	26-10-2022	26-10-2022	C/03/309908/HA RK 22-246	Civiel recht	Wraking	Wrakingsverzoek toegewezen	Rechtspraak.nl	Verrijkte uitspraak		
104	Rechtbank Den Haag	26-10-2022	31-10-2022	C/09/601796 / HA ZA 20-1057	Civiel recht	Eerste aanleg - enkelvoudig	Overeenkomst tussen zorgaanbieder en samenwerkingsorgaan van aantal gemeenten. Aanbod en aanvaarding. Waarover hebben partijen overeenstemming bereikt? Aanbestedingsrecht niet van toepassing op inkoopprocedure volgens 'Open House' model.	"Rechtspraak.nl 
Module Aanbesteding 2022/1909"	Verrijkte uitspraak		
105	Rechtbank Gelderland	26-10-2022	02-11-2022	C/05/389696 / HA ZA 21-312	Goederenrecht	Eerste aanleg - enkelvoudig	Omvang erfdienstbaarheid. Erfdienstbaarheid op onaanvaardbare wijze ingeperkt. Uitleg authentieke akte.	Rechtspraak.nl	Verrijkte uitspraak		
106	Rechtbank Overijssel	26-10-2022	02-11-2022	C/08/271970 / HA ZA 21-408	Civiel recht	Eerste aanleg - meervoudig	Ontwikkeling en productie van een elektrische verwarmingsketel (Ecoliner). Geen aansprakelijkheid op grond van onthouden/toe-eigenen corporate opportunity. Wel onrechtmatige concurrentie uitvinder. Verwijzing naar schadestaatprocedure. Afwijzing overdracht IE-rechten. Staking van alle activiteiten m.b.t. Trion E-ketel. Geen schending geheimhoudingsplicht. Uitsplitsing proceskosten.	Rechtspraak.nl	Verrijkte uitspraak		
107	Rechtbank Zeeland-West-Brabant	26-10-2022	03-11-2022	9603294_E26102022	Civiel recht	Bodemzaak	Vordering tot vergoeding schade aan bestrating op voorerf wordt afgewezen nu eiser afziet van bewijslevering. Vordering tot vergoeding kapotte lampen wordt als bindende eindbeslissing toegewezen.	Rechtspraak.nl	Verrijkte uitspraak		
108	Rechtbank Zeeland-West-Brabant	26-10-2022	03-11-2022	9791743 CV EXPL 22-1078	Verbintenissenrecht	Bodemzaak	Geen verhaal van tandartskosten op onder bewind gestelde goederen als de tandarts het bewind kende of behoorde te kennen en geen sprake is van medewerking van de bewindvoerder of een machtiging van de kantonrechter.	Rechtspraak.nl	Verrijkte uitspraak		
